"YAL038W" 1
"YBL021C" 3
"YBL025W" 3
"YBL072C" 3
"YBL087C" 3
"YBR055C" 3
"YBR123C" 3
"YBR181C" 3
"YBR188C" 3
"YBR189W" 3
"YBR191W" 3
"YBR193C" 3
"YBR215W" 3
"YBR236C" 3
"YBR253W" 3
"YBR279W" 3
"YCR012W" 1
"YDL030W" 3
"YDL044C" 1
"YDL061C" 3
"YDL075W" 3
"YDL082W" 3
"YDL083C" 3
"YDL136W" 3
"YDL191W" 3
"YDL194W" 3
"YDR064W" 3
"YDR073W" 3
"YDR088C" 3
"YDR240C" 3
"YDR243C" 3
"YDR308C" 3
"YDR341C" 3
"YDR342C" 3
"YDR343C" 3
"YDR345C" 3
"YDR397C" 2
"YDR450W" 2
"YDR471W" 3
"YDR473C" 3
"YDR500C" 3
"YDR536W" 3
"YEL056W" 3
"YER022W" 3
"YER029C" 3
"YER032W" 3
"YER074W" 3
"YER102W" 3
"YER112W" 3
"YER117W" 3
"YER131W" 3
"YER159C" 3
"YER162C" 2
"YER169W" 3
"YFL001W" 3
"YFL011W" 3
"YFR037C" 3
"YGL031C" 3
"YGL070C" 3
"YGL076C" 3
"YGL090W" 3
"YGL103W" 3
"YGL123W" 3
"YGL135W" 3
"YGL147C" 3
"YGL189C" 3
"YGL243W" 3
"YGL244W" 3
"YGL253W" 3
"YGR005C" 3
"YGR013W" 3
"YGR027C" 3
"YGR034W" 3
"YGR047C" 3
"YGR056W" 3
"YGR074W" 3
"YGR075C" 3
"YGR091W" 2
"YGR104C" 3
"YGR118W" 3
"YGR148C" 3
"YGR186W" 3
"YGR192C" 3
"YGR200C" 3
"YGR240C" 3
"YGR254W" 3
"YGR289C" 3
"YHL001W" 3
"YHL009C" 3
"YHL033C" 3
"YHR006W" 3
"YHR010W" 3
"YHR021C" 3
"YHR058C" 3
"YHR092C" 3
"YHR094C" 3
"YHR096C" 3
"YHR141C" 3
"YHR174W" 3
"YHR178W" 3
"YHR203C" 3
"YIL018W" 3
"YIL021W" 3
"YIL052C" 3
"YIL069C" 3
"YIL133C" 3
"YIL170W" 3
"YIR015W" 3
"YIR018W" 3
"YJL052W" 3
"YJL115W" 3
"YJL127C" 3
"YJL136C" 3
"YJL140W" 3
"YJL176C" 3
"YJL177W" 3
"YJL189W" 3
"YJL190C" 3
"YJL203W" 3
"YJL214W" 2
"YJL219W" 3
"YJR009C" 3
"YJR022W" 3
"YJR050W" 3
"YJR052W" 3
"YJR093C" 3
"YJR123W" 3
"YJR145C" 3
"YKL006W" 3
"YKL011C" 3
"YKL012W" 3
"YKL015W" 3
"YKL060C" 3
"YKL113C" 3
"YKL125W" 3
"YKL149C" 3
"YKL152C" 3
"YKR008W" 3
"YKR025W" 3
"YKR057W" 3
"YLL036C" 3
"YLR061W" 3
"YLR116W" 3
"YLR117C" 3
"YLR185W" 3
"YLR264W" 3
"YLR298C" 3
"YLR316C" 3
"YLR321C" 3
"YLR325C" 1
"YLR333C" 3
"YLR344W" 2
"YML026C" 3
"YML114C" 3
"YMR005W" 3
"YMR011W" 3
"YMR106C" 3
"YMR125W" 3
"YMR137C" 3
"YMR142C" 3
"YMR143W" 3
"YMR182C" 1
"YMR193W" 3
"YMR205C" 3
"YMR213W" 3
"YMR230W" 3
"YMR242C" 3
"YMR270C" 3
"YMR277W" 3
"YNL067W" 3
"YNL069C" 3
"YNL096C" 3
"YNL162W" 3
"YNL178W" 3
"YNL230C" 3
"YNL301C" 3
"YNL314W" 3
"YOL120C" 3
"YOL135C" 2
"YOR096W" 3
"YOR148C" 3
"YOR167C" 3
"YOR182C" 3
"YOR194C" 3
"YOR234C" 3
"YOR293W" 3
"YOR312C" 3
"YOR319W" 3
"YOR347C" 3
"YOR369C" 3
"YPL075W" 3
"YPL079W" 3
"YPL081W" 3
"YPL090C" 3
"YPL143W" 3
"YPL198W" 3
"YPL213W" 3
"YPL220W" 3
"YPR043W" 2
"YPR101W" 3
"YPR107C" 3
"YPR132W" 3
"YPR168W" 3
"YPR182W" 3
"YPR186C" 3
