11,4,4,7,7,4,4,7,4,7,7,4,4,4,4,4,10,4,6,7,7,7,7,7,7,2,7,4,4,4,5,4,6,10,10,5,4,7,7,4,7,2,5,4,4,2,7,7,6,7,7,4,7,4,5,6,4,7,4,7,5,7,7,7,7,7,4,4,7,4,5,7,7,4,4,4,4,6,4,7,7,4,10,5,7,11,2,7,5,7,5,7,7,4,5,5,6,7,11,4,7,7,4,7,7,7,0,4,5,10,4,4,7,6,4,7,7,7,4,2,2,10,5,5,4,4,7,7,7,6,4,4,7,6,4,5,7,4,4,7,6,7,4,4,7,7,4,5,4,7,7,7,7,4,4,5,4,6,4,7,7,4,6,7,5,7,7,4,4,7,7,7,7,7,4,7,4,7,4,7,5,7,7,5,7,7,7,4,7,7,4,7,7,7,7,7,5,7,7,4,4,7,4,4,4
4,22,21,9,9,13,21,9,14,17,9,20,14,20,20,20,8,13,13,9,9,9,9,9,9,2,9,14,13,13,13,20,8,8,8,2,20,11,9,13,9,2,20,20,13,2,17,9,17,9,9,20,14,9,9,8,14,9,20,9,18,12,17,9,9,9,9,20,9,21,13,9,9,21,14,13,13,13,20,9,9,21,8,11,10,10,2,9,9,9,9,9,9,20,2,2,2,9,10,9,9,9,20,9,17,9,0,17,16,8,14,9,9,20,14,9,9,9,13,2,2,8,17,14,14,20,9,9,9,10,13,9,8,17,16,9,8,14,20,9,14,9,13,14,9,9,13,9,18,9,9,9,11,21,21,2,18,14,9,9,9,16,14,10,14,9,9,21,9,9,9,17,9,9,20,9,9,9,20,17,13,9,9,21,9,9,9,13,8,9,12,9,17,9,9,17,13,9,9,14,20,9,20,13,9
4,21,27,11,11,13,21,11,14,20,11,20,14,20,20,22,8,13,13,11,11,11,11,11,11,2,11,14,13,13,13,20,8,8,8,2,20,13,11,13,11,2,20,20,13,2,20,11,20,11,11,20,14,9,9,8,14,11,20,11,20,14,20,11,11,11,9,22,9,21,13,11,11,21,14,13,13,13,20,11,11,21,8,11,10,10,2,11,9,11,9,11,11,20,2,2,2,11,10,9,11,11,20,11,20,11,0,21,18,8,14,9,11,22,14,11,11,11,13,2,2,8,20,14,14,20,11,11,11,10,13,9,8,20,19,9,8,14,20,11,14,11,13,16,11,11,13,9,20,11,11,11,13,21,21,2,20,14,9,11,11,18,16,10,14,11,11,27,9,11,11,20,11,11,20,11,9,11,20,20,13,11,11,21,11,11,11,13,8,11,12,11,20,11,11,20,13,11,11,14,20,11,20,13,9
7,9,11,23,19,10,9,22,10,23,19,9,9,9,9,11,8,10,10,21,19,19,21,20,20,2,23,9,10,10,11,9,8,8,8,2,9,21,19,10,19,2,10,9,10,2,21,23,14,19,21,9,12,6,7,8,9,19,9,19,12,19,22,19,19,21,6,11,9,9,11,21,19,9,9,10,10,12,9,21,19,9,8,8,11,11,2,19,7,19,7,19,21,9,2,2,2,19,11,6,23,19,9,19,21,19,0,12,11,8,9,6,21,14,9,19,19,21,10,2,2,8,13,11,9,9,23,23,19,10,10,6,9,12,10,7,9,9,9,21,12,19,10,12,19,21,10,7,11,19,21,19,21,9,9,2,11,12,6,19,23,10,16,11,11,21,19,11,6,19,19,23,19,23,9,19,6,19,9,23,11,21,21,10,19,21,19,10,9,21,8,19,23,23,19,19,11,19,19,10,9,21,9,10,6
7,9,11,19,21,10,9,19,10,19,21,9,9,9,9,11,8,10,10,19,21,21,19,21,21,2,19,9,10,10,11,9,8,8,8,2,9,19,21,10,21,2,10,9,10,2,19,19,14,21,19,9,12,6,7,8,9,21,9,21,12,21,19,21,21,19,6,11,9,9,11,19,21,9,9,10,10,12,9,19,21,9,8,8,11,11,2,21,7,21,7,21,19,9,2,2,2,21,11,6,19,21,9,21,19,21,0,12,11,8,9,6,19,14,9,21,21,19,10,2,2,8,13,11,9,9,19,19,21,10,10,6,9,12,10,7,9,9,9,19,12,21,10,12,21,19,10,7,11,21,19,21,19,9,9,2,11,12,6,21,19,10,17,11,11,19,21,11,6,21,21,19,21,19,9,21,6,21,9,19,11,19,19,10,21,19,21,10,9,19,8,21,19,19,21,21,11,21,21,10,9,19,9,10,6
4,13,13,10,10,16,13,10,14,14,10,13,13,13,13,13,8,15,10,10,10,10,10,10,10,2,10,13,14,15,15,13,8,8,8,2,13,12,10,16,10,2,13,13,16,2,14,10,16,10,10,13,13,9,9,8,13,10,13,10,13,13,14,10,10,10,9,13,9,13,15,10,10,13,13,16,16,16,13,10,10,13,8,10,9,9,2,10,9,10,9,10,10,13,2,2,2,10,9,9,10,10,13,10,14,10,0,14,12,8,13,9,10,14,13,10,10,10,15,2,2,8,16,14,13,13,10,10,10,10,15,9,8,12,12,9,8,13,13,10,14,10,14,14,10,10,15,9,13,10,10,10,12,13,13,2,13,14,9,10,10,12,12,9,14,10,10,13,9,10,10,14,10,10,13,10,9,10,13,14,14,10,10,13,10,10,10,15,8,10,12,10,14,10,10,14,15,10,10,14,13,10,13,16,9
4,21,21,9,9,13,22,9,14,17,9,20,14,20,20,20,8,13,13,9,9,9,9,9,9,2,9,14,13,13,13,20,8,8,8,2,20,11,9,13,9,2,20,20,13,2,17,9,17,9,9,20,14,9,9,8,14,9,20,9,18,12,17,9,9,9,9,20,9,21,13,9,9,22,14,13,13,13,20,9,9,21,8,11,10,10,2,9,9,9,9,9,9,20,2,2,2,9,10,9,9,9,20,9,17,9,0,17,16,8,14,9,9,20,14,9,9,9,13,2,2,8,17,14,14,20,9,9,9,10,13,9,8,17,16,9,8,14,20,9,14,9,13,14,9,9,13,9,18,9,9,9,11,21,21,2,18,14,9,9,9,16,14,10,14,9,9,21,9,9,9,17,9,9,20,9,9,9,20,17,13,9,9,21,9,9,9,13,8,9,12,9,17,9,9,17,13,9,9,14,20,9,20,13,9
7,9,11,22,19,10,9,23,10,23,19,9,9,9,9,11,8,10,10,21,19,19,21,20,20,2,22,9,10,10,11,9,8,8,8,2,9,21,19,10,19,2,10,9,10,2,21,22,14,19,21,9,12,6,7,8,9,19,9,19,12,19,23,19,19,21,6,11,9,9,11,21,19,9,9,10,10,12,9,21,19,9,8,8,11,11,2,19,7,19,7,19,21,9,2,2,2,19,11,6,22,19,9,19,21,19,0,12,11,8,9,6,21,14,9,19,19,21,10,2,2,8,13,11,9,9,22,22,19,10,10,6,9,12,10,7,9,9,9,21,12,19,10,12,19,21,10,7,11,19,21,19,21,9,9,2,11,12,6,19,22,10,16,11,11,21,19,11,6,19,19,23,19,22,9,19,6,19,9,23,11,21,21,10,19,21,19,10,9,21,8,19,23,23,19,19,11,19,19,10,9,21,9,10,6
4,14,14,10,10,14,14,10,20,14,10,14,14,14,14,14,8,16,10,10,10,10,10,10,10,2,10,14,15,16,15,14,8,8,8,2,14,12,10,15,10,2,14,14,16,2,14,10,14,10,10,14,14,9,9,8,14,10,14,10,14,13,14,10,10,10,9,14,9,14,16,10,10,14,14,16,15,15,14,10,10,14,8,11,10,10,2,10,9,10,9,10,10,14,2,2,2,10,10,9,10,10,14,10,14,10,0,14,12,8,14,9,10,15,14,10,10,10,16,2,2,8,14,20,14,14,10,10,10,10,16,9,8,12,12,9,8,14,14,10,20,10,16,20,10,10,16,9,14,10,10,10,12,14,14,2,14,17,9,10,10,12,12,10,20,10,10,14,9,10,10,14,10,10,14,10,9,10,14,14,15,10,10,14,10,10,10,16,8,10,12,10,14,10,10,14,16,10,10,20,14,10,14,14,9
7,17,20,23,19,14,17,23,14,33,19,17,13,17,17,19,10,14,15,21,19,19,21,20,20,2,23,13,14,14,15,17,10,10,10,2,17,23,19,14,19,2,18,17,14,2,30,23,23,19,21,17,16,9,10,10,13,19,17,19,20,22,32,19,19,21,9,19,12,17,15,21,19,17,13,14,14,16,17,21,19,17,10,11,13,13,2,19,10,19,10,19,21,17,2,2,2,19,13,9,23,19,17,19,30,19,0,21,19,10,13,9,21,22,13,19,19,21,14,2,2,10,22,15,13,17,23,23,19,12,14,9,11,21,19,10,11,13,17,21,16,19,14,16,19,21,14,10,19,19,21,19,23,17,17,2,19,16,9,19,23,18,21,13,15,21,19,20,9,19,19,33,19,23,17,19,9,19,17,33,15,21,21,18,19,21,19,14,11,21,12,19,33,24,19,28,15,19,19,14,17,21,17,14,9
